Year,MeanTemp
2019,28.4430137
2016,28.42923497
1998,28.30547945
1997,28.24767123
2015,28.24136986
2002,28.08821918
2010,28.08547945
2005,28.00739726
2009,27.92767123
2014,27.91835616
2018,27.88520548
2004,27.85382514
2003,27.76575342
2006,27.7430137
2017,27.69534247
1983,27.65506849
2013,27.65479452
2001,27.61561644
1994,27.59726027
1990,27.59315068
1995,27.58383562
2011,27.5690411
2012,27.54262295
2007,27.53863014
1996,27.50163934
1999,27.49260274
2000,27.48306011
2008,27.47486339
1991,27.44438356
1993,27.42164384
1987,27.37424658
1992,27.35846995
1988,27.2284153
1985,27.11424658
1986,27.10657534
1989,26.92657534
1984,26.7647541
